#grain_size_mm	site_0	site_1	site_2
2723	100	100	100
2722	100	100	99.9
2666	100	100	99.9
2665	100	99.9	99.9
2520	100	99.9	99.7
2519	99.9	99.9	99.7
2500	99.9	99.6	99.7
2400	99.9	99.6	99.6
2300	99.9	99.6	99.5
2200	99.9	99.2	99.3
2100	99.9	99.2	99.3
2000	99.9	99.2	99.3
1900	99.9	98.8	99.3
1800	99.9	98.8	99.3
1700	99.9	98.8	99.2
1600	99.9	98.8	99.2
1500	99.8	98.4	99.0
1400	99.8	97.5	98.8
1300	99.7	96.3	98.8
1200	99.5	95.5	98.6
1100	99.3	94.2	98.4
1000	98.8	93.0	98.0
900	98.2	89.7	97.3
800	97.6	88.1	96.6
700	95.9	84.8	94.9
600	94.0	80.7	92.6
500	90.7	70.8	89.5
			
			
			
			
